CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LC2873A1_contig0_len751_circularized 405.598 470 11 518
LC2873A1_contig101_len445 199.151 225 9 310
LC2873A1_contig102_len1153 210.494 279 1 391
LC2873A1_contig103_len1491_circularized 223.049 215 2 334
LC2873A1_contig106_len741_circularized 169.76 181 3 288
LC2873A1_contig107_len871 143.927 154 13 193
LC2873A1_contig108_len752_circularized 228.334 242 10 392
LC2873A1_contig109_len738_circularized 295.941 350 10 406
LC2873A1_contig111_len751_circularized 55.5161 58 2 116
LC2873A1_contig113_len749_circularized 111.882 92 3 299
LC2873A1_contig114_len748_circularized 47.5423 38 1 149
LC2873A1_contig116_len730_circularized 726.325 850 24 957
LC2873A1_contig11_len749_circularized 448.821 525 10 597
LC2873A1_contig120_len1555 229.113 106 9 509
LC2873A1_contig121_len739_circularized 60.6108 66 2 91
LC2873A1_contig124_len752_circularized 177.693 149 4 485
LC2873A1_contig127_len760_circularized 340.811 370 10 501
LC2873A1_contig128_len467 233.028 234 5 422
LC2873A1_contig129_len740_circularized 528.843 545.5 13 863
LC2873A1_contig134_len750_circularized 170.501 198 3 236
LC2873A1_contig138_len768 13.9518 15 1 23
LC2873A1_contig139_len748_circularized 102.872 112 2 177
LC2873A1_contig13_len749_circularized 438.455 496 14 659
LC2873A1_contig141_len740_circularized 818.384 931 23 1107
LC2873A1_contig142_len764 668.622 788 33 875
LC2873A1_contig144_len1307 497.695 478 23 907
LC2873A1_contig145_len749_circularized 387.406 396 10 713
LC2873A1_contig146_len697 389.554 445 22 524
LC2873A1_contig148_len734_circularized 42.3484 32 0 136
LC2873A1_contig149_len741_circularized 89.0135 83 3 206
LC2873A1_contig151_len695 13.3583 16 0 22
LC2873A1_contig154_len751_circularized 67.0511 72 1 118
LC2873A1_contig156_len466 118.148 139 1 192
LC2873A1_contig158_len740_circularized 24.9629 24.5 0 60
LC2873A1_contig15_len741_circularized 416.209 487 13 555
LC2873A1_contig160_len739_circularized 269.495 287 7 435
LC2873A1_contig166_len785 368.401 433 0 506
LC2873A1_contig167_len740_circularized 281.827 323 6 383
LC2873A1_contig169_len748_circularized 216.706 251 7 285
LC2873A1_contig16_len751_circularized 58.8169 43 0 185
LC2873A1_contig170_len742_circularized 26.6155 29 0 40
LC2873A1_contig171_len739_circularized 116.207 135 5 160
LC2873A1_contig172_len749_circularized 116.637 130 0 186
LC2873A1_contig173_len750_circularized 60.3022 62 1 129
LC2873A1_contig174_len2251 448.055 594 34 844
LC2873A1_contig177_len741_circularized 74.0426 66 0 180
LC2873A1_contig178_len750_circularized 613.646 714 16 783
LC2873A1_contig179_len740_circularized 114.07 128 5 170
LC2873A1_contig180_len752_circularized 222.018 241 5 366
LC2873A1_contig181_len762_circularized 138.796 152 4 218
LC2873A1_contig184_len741_circularized 90.0123 106 4 118
LC2873A1_contig185_len741_circularized 336.646 387 8 507
LC2873A1_contig186_len751_circularized 552.521 658 12 716
LC2873A1_contig187_len829 342.969 412 0 451
LC2873A1_contig18_len576 427.845 449 19 733
LC2873A1_contig191_len1501_circularized 500.932 399 13 1090
LC2873A1_contig193_len749_circularized 320.296 367 10 456
LC2873A1_contig198_len763_circularized 369.806 435 6 491
LC2873A1_contig19_len737_circularized 346.351 389 13 510
LC2873A1_contig1_len742_circularized 303.418 331 12 496
LC2873A1_contig202_len751_circularized 495.155 548 17 728
LC2873A1_contig203_len741_circularized 241.54 282 8 315
LC2873A1_contig204_len749_circularized 67.8209 55 0 190
LC2873A1_contig208_len742_circularized 723.965 816 15 1015
LC2873A1_contig20_len742_circularized 196.42 234 2 260
LC2873A1_contig210_len1116 92.0771 31 1 305
LC2873A1_contig211_len743_circularized 130.511 152 2 181
LC2873A1_contig213_len1048 464.889 528 12 597
