CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LH2161A1_contig0_len1515 2530.74 2487 35 4335
LH2161A1_contig102_len851 3185.6 3626 33 3959
LH2161A1_contig104_len749_circularized 637.467 557 8 1975
LH2161A1_contig105_len906 630.219 624 3 1338
LH2161A1_contig106_len739_circularized 1477.53 1607 41 2704
LH2161A1_contig107_len792 299.562 326 4 469
LH2161A1_contig108_len718_circularized 614.516 699 18 1004
LH2161A1_contig109_len752_circularized 494.861 532.5 16 872
LH2161A1_contig10_len738_circularized 1041.86 1149.5 28 1824
LH2161A1_contig110_len752_circularized 319.901 361.5 8 498
LH2161A1_contig111_len737_circularized 986.826 1114 37 1505
LH2161A1_contig112_len739_circularized 1931.1 2235 64 2721
LH2161A1_contig113_len743_circularized 398.567 443 25 646
LH2161A1_contig11_len748_circularized 2984.95 3479.5 110 4532
LH2161A1_contig13_len764 4466.1 4926 42 5878
LH2161A1_contig14_len1008 2060.16 2518 3 3342
LH2161A1_contig15_len1569 1528.61 1316 2 3720
LH2161A1_contig16_len748_circularized 1237.62 1384 49 1839
LH2161A1_contig1_len751_circularized 3358.02 3865 100 4731
LH2161A1_contig20_len747_circularized 486.387 535 9 774
LH2161A1_contig22_len1022 434.262 368 2 1803
LH2161A1_contig23_len738_circularized 1397.25 1549 31 2243
LH2161A1_contig25_len743_circularized 337.376 396 16 488
LH2161A1_contig26_len736_circularized 2811.69 3198.5 79 4311
LH2161A1_contig27_len959 554.431 544 8 906
LH2161A1_contig29_len857 5173.59 6123 19 6613
LH2161A1_contig30_len1554 2701.26 3057.5 0 4476
LH2161A1_contig32_len740_circularized 2834.38 3367 93 3901
LH2161A1_contig33_len748_circularized 2157.53 2427.5 66 3290
LH2161A1_contig34_len850 1785.16 1940 10 2413
LH2161A1_contig36_len908 867.477 928.5 5 1649
LH2161A1_contig39_len739_circularized 2629.7 2982 67 3821
LH2161A1_contig3_len739_circularized 3295.69 3685 135 5061
LH2161A1_contig40_len737_circularized 1492.86 1723 39 2178
LH2161A1_contig41_len742_circularized 2505.46 2888 61 3529
LH2161A1_contig43_len677 1658.98 1808 54 2232
LH2161A1_contig45_len859 223.137 185 9 544
LH2161A1_contig46_len2330 808.932 588 5 1905
LH2161A1_contig48_len741_circularized 1868.77 2138 45 2687
LH2161A1_contig4_len748_circularized 608.066 686 31 932
LH2161A1_contig50_len747_circularized 2025.47 2315 62 2746
LH2161A1_contig51_len745_circularized 799.631 866 24 1350
LH2161A1_contig52_len742_circularized 2658.69 3036.5 96 4259
LH2161A1_contig53_len759_circularized 1808.16 1985 61 2882
LH2161A1_contig54_len740_circularized 1859.06 2140.5 42 2659
LH2161A1_contig56_len2210_circularized 1857.39 1885 36 2731
LH2161A1_contig57_len737_circularized 951.43 1071 36 1502
LH2161A1_contig58_len739_circularized 1161.54 1356 41 1704
LH2161A1_contig5_len743_circularized 1940.49 2264 85 2832
LH2161A1_contig60_len839 1597.79 1790 4 2256
LH2161A1_contig64_len740_circularized 1689.31 1948 39 2388
LH2161A1_contig65_len889 489.154 513 0 867
LH2161A1_contig67_len873 453.749 408 1 1337
LH2161A1_contig68_len1699 1153.54 1233 4 1618
LH2161A1_contig6_len750_circularized 614.787 725 17 861
LH2161A1_contig70_len751_circularized 3779.32 4489 72 5487
LH2161A1_contig71_len739_circularized 980.65 991 32 2101
LH2161A1_contig72_len754_circularized 1248.83 1426 28 1806
LH2161A1_contig74_len741_circularized 2461.65 2728 60 3709
LH2161A1_contig78_len747_circularized 3055.69 3558 76 4234
LH2161A1_contig7_len741_circularized 2414.03 2831 73 3333
LH2161A1_contig80_len740_circularized 1859.52 1990 65 3216
LH2161A1_contig81_len749_circularized 1883.22 2099 45 3161
LH2161A1_contig82_len739_circularized 1115.58 1276 39 1623
LH2161A1_contig83_len1485_circularized 2493.97 2655 27 4115
LH2161A1_contig84_len749_circularized 1462.96 1692 36 2226
LH2161A1_contig85_len818 2267.68 2637.5 5 3123
LH2161A1_contig86_len740_circularized 1083.11 1253 34 1490
LH2161A1_contig87_len1032 960.566 1113.5 2 1957
LH2161A1_contig88_len749_circularized 961.871 1067 37 1431
LH2161A1_contig8_len739_circularized 1324.01 1529 56 1860
LH2161A1_contig93_len738_circularized 1055.33 1225.5 28 1449
LH2161A1_contig94_len738_circularized 1158.84 1116.5 25 3030
LH2161A1_contig95_len738_circularized 2173.23 2484 60 3142
LH2161A1_contig96_len839 573.676 570 8 888
LH2161A1_contig98_len867 1864.6 1998 0 2987
LH2161A1_contig99_len752_circularized 2307.02 2574 88 3599
