CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
PER069A1_contig0_len749_circularized 840.24 930 23 1301
PER069A1_contig100_len740_circularized 2704.94 2819.5 79 5386
PER069A1_contig103_len740_circularized 2359.69 2645 73 3511
PER069A1_contig105_len749_circularized 1927.72 2206 70 2701
PER069A1_contig106_len739_circularized 526.173 448 19 1684
PER069A1_contig107_len739_circularized 1376.47 1408 50 2696
PER069A1_contig108_len1581 405.596 333 5 901
PER069A1_contig109_len749_circularized 850.962 907 33 1481
PER069A1_contig110_len1497_circularized 1475.28 1387 32 2974
PER069A1_contig111_len761_circularized 348.776 334 4 864
PER069A1_contig112_len740_circularized 266.115 176 7 1210
PER069A1_contig114_len756_circularized 2256.74 2537.5 84 3342
PER069A1_contig115_len740_circularized 1514.09 1629.5 39 2516
PER069A1_contig116_len752_circularized 3409.52 3725 134 5259
PER069A1_contig117_len752_circularized 2057.37 1819 46 6078
PER069A1_contig119_len741_circularized 3116.87 3445 43 4198
PER069A1_contig11_len761_circularized 1998.48 2110 80 3545
PER069A1_contig120_len751_circularized 1540.8 1716 37 2152
PER069A1_contig123_len750_circularized 937.927 1008 10 1630
PER069A1_contig124_len838 436.535 427 12 835
PER069A1_contig125_len748_circularized 1084.61 1190.5 28 1665
PER069A1_contig127_len750_circularized 950.262 883 39 2438
PER069A1_contig129_len1482_circularized 319.329 304 4 818
PER069A1_contig12_len750_circularized 324.226 364 4 528
PER069A1_contig132_len739_circularized 2735.03 3027 24 3791
PER069A1_contig135_len741_circularized 745.908 827 14 1084
PER069A1_contig138_len742_circularized 2470.15 2521 95 4824
PER069A1_contig139_len820 81.589 75 6 185
PER069A1_contig13_len737_circularized 1238.66 1366 35 1822
PER069A1_contig140_len740_circularized 81.5876 65 0 293
PER069A1_contig142_len741_circularized 1313.79 1450 24 2245
PER069A1_contig145_len749_circularized 83.168 32 1 519
PER069A1_contig146_len742_circularized 1642.25 1794 46 2712
PER069A1_contig148_len740_circularized 999.274 1046 37 2094
PER069A1_contig149_len762_circularized 1943.1 1661 53 6658
PER069A1_contig14_len740_circularized 327.828 163 9 1822
PER069A1_contig150_len1077 533.398 672 1 1014
PER069A1_contig151_len975 698.446 861 1 1229
PER069A1_contig152_len738_circularized 632.321 547 19 2035
PER069A1_contig153_len749_circularized 3293.52 3645 103 4616
PER069A1_contig155_len1461_circularized 680.813 771 8 2120
PER069A1_contig156_len738_circularized 6332.46 7263.5 204 8262
PER069A1_contig157_len741_circularized 2224.26 2585 49 3084
PER069A1_contig15_len749_circularized 459.177 504 15 674
PER069A1_contig165_len749_circularized 508.637 359 7 2112
PER069A1_contig167_len737_circularized 804.533 903 19 1277
PER069A1_contig168_len734_circularized 196.572 216 4 326
PER069A1_contig169_len742_circularized 718.204 816.5 24 953
PER069A1_contig16_len749_circularized 81.1313 89 4 116
PER069A1_contig170_len741_circularized 376.588 427 6 587
PER069A1_contig17_len743_circularized 427.228 469 21 734
PER069A1_contig18_len742_circularized 185.374 96 0 1029
PER069A1_contig19_len751_circularized 6910.09 7871 221 11161
PER069A1_contig1_len1033 2051.8 2202 25 3993
PER069A1_contig24_len749_circularized 611.701 558 20 1765
PER069A1_contig26_len761_circularized 511.94 558 23 989
PER069A1_contig27_len758 2177.75 2325 22 3289
PER069A1_contig29_len1023 859.679 1035 4 1311
PER069A1_contig2_len750_circularized 897.736 1005.5 30 1305
PER069A1_contig30_len754_circularized 631.319 754 13 982
PER069A1_contig32_len750_circularized 4976.83 5677.5 138 6349
PER069A1_contig34_len750_circularized 2135.95 2392 54 3053
PER069A1_contig36_len752_circularized 1137.25 1184.5 16 2462
PER069A1_contig39_len752_circularized 4404.82 5113 136 6214
PER069A1_contig41_len1706 784.197 841 3 1328
PER069A1_contig44_len490 349.745 383 12 522
PER069A1_contig47_len741_circularized 1837.61 2064 43 2919
PER069A1_contig48_len742_circularized 765.096 801.5 29 1179
PER069A1_contig4_len751_circularized 1651.04 1745 41 3026
PER069A1_contig51_len494 532.184 586 31 794
PER069A1_contig56_len818 1261.71 1445.5 16 1826
PER069A1_contig57_len739_circularized 1520.58 1501 47 3656
PER069A1_contig5_len750_circularized 651.067 713 19 1023
PER069A1_contig61_len822 1550.81 1774.5 11 2388
PER069A1_contig62_len751_circularized 352.283 172 9 1997
PER069A1_contig65_len815 712.043 822 7 975
PER069A1_contig67_len750_circularized 966.026 904 21 2336
PER069A1_contig68_len749_circularized 1063.25 1227 41 1440
PER069A1_contig6_len745_circularized 532.737 561 12 960
PER069A1_contig73_len752_circularized 2256.59 2571.5 70 3314
PER069A1_contig75_len749_circularized 1933.1 2177 62 3081
PER069A1_contig76_len742_circularized 2477.89 2917 80 3586
PER069A1_contig77_len748_circularized 9564.4 10254.5 388 14119
PER069A1_contig79_len740_circularized 817.928 833.5 18 1304
PER069A1_contig7_len739_circularized 307.246 328 10 614
PER069A1_contig80_len2322 1062.2 778 5 2800
PER069A1_contig82_len749_circularized 176.326 43 1 1307
PER069A1_contig85_len750_circularized 868.859 958 23 1254
PER069A1_contig86_len740_circularized 946.806 1087.5 21 1369
PER069A1_contig88_len748_circularized 3418.42 3774.5 112 5438
PER069A1_contig8_len751_circularized 1218.8 1373 26 1742
PER069A1_contig92_len1494_circularized 470.091 529 1 1652
PER069A1_contig94_len1259 5421.74 3850 5 13833
PER069A1_contig99_len734 1587.92 1597 17 3143
PER069A1_contig9_len922 917.835 979 0 1805
