CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LCA08A1_contig0_len739_circularized 455.109 514 10 696
LCA08A1_contig10_len853 901.729 989 31 1341
LCA08A1_contig11_len749_circularized 318.707 361 6 487
LCA08A1_contig12_len737_circularized 195.613 219 6 302
LCA08A1_contig14_len739_circularized 195.811 204 7 383
LCA08A1_contig15_len893 219.264 216 1 444
LCA08A1_contig16_len748_circularized 47.9599 52 1 85
LCA08A1_contig18_len749_circularized 499.209 545 13 767
LCA08A1_contig1_len738_circularized 407.901 487 11 610
LCA08A1_contig20_len823 785.458 891 1 1091
LCA08A1_contig22_len752_circularized 31.3448 27 0 104
LCA08A1_contig24_len718_circularized 603.528 697 18 902
LCA08A1_contig25_len750_circularized 115.593 111.5 0 312
LCA08A1_contig26_len1483_circularized 393.869 356 2 797
LCA08A1_contig27_len750_circularized 260.336 275.5 6 562
LCA08A1_contig28_len739_circularized 276.607 315 11 374
LCA08A1_contig29_len965 329.827 391 0 494
LCA08A1_contig2_len1495_circularized 326.176 214 10 876
LCA08A1_contig31_len741_circularized 595.624 661 13 914
LCA08A1_contig32_len737_circularized 72.7824 78 2 142
LCA08A1_contig33_len911 345.575 389 2 534
LCA08A1_contig35_len740_circularized 379.099 446 5 525
LCA08A1_contig36_len737_circularized 43.2717 33 0 171
LCA08A1_contig37_len2422 843.615 825.5 0 2086
LCA08A1_contig38_len1487_circularized 588.068 584 2 1157
LCA08A1_contig39_len981 739.488 906 1 1128
LCA08A1_contig3_len740_circularized 120.985 134 5 191
LCA08A1_contig40_len751_circularized 1480.09 1713 31 2060
LCA08A1_contig41_len749_circularized 492.905 546 23 760
LCA08A1_contig42_len747_circularized 212.405 234 5 399
LCA08A1_contig43_len745_circularized 534.076 602 15 803
LCA08A1_contig45_len748_circularized 621.236 697 15 950
LCA08A1_contig46_len539 394.545 420 12 610
LCA08A1_contig47_len867 65.8097 67 0 139
LCA08A1_contig4_len746_circularized 299.785 338 6 410
LCA08A1_contig52_len1020 428.273 516 0 709
LCA08A1_contig55_len747_circularized 147.075 166 2 213
LCA08A1_contig58_len1660 493.789 214 0 1259
LCA08A1_contig60_len1044 249.685 284 0 610
LCA08A1_contig61_len743_circularized 383.525 441 11 554
LCA08A1_contig62_len717_circularized 286.787 324 5 434
LCA08A1_contig63_len747_circularized 402.605 445 7 691
LCA08A1_contig65_len752_circularized 394.085 411 12 894
LCA08A1_contig67_len748_circularized 190.751 198 7 380
LCA08A1_contig68_len742_circularized 84.1502 59 0 337
LCA08A1_contig69_len830 381.094 429.5 0 520
LCA08A1_contig6_len738_circularized 426.073 498 15 592
LCA08A1_contig70_len740_circularized 590.911 672 22 950
LCA08A1_contig71_len889 576.588 646 0 823
LCA08A1_contig72_len734 771.659 928 6 1306
LCA08A1_contig73_len740_circularized 89.4843 98 3 144
LCA08A1_contig74_len1487_circularized 685.67 714 7 1084
LCA08A1_contig76_len1565 332.523 335 1 922
LCA08A1_contig77_len902 87.3947 84 1 186
LCA08A1_contig78_len993 205.733 253 0 337
LCA08A1_contig79_len1501_circularized 654.933 283 4 1393
LCA08A1_contig7_len1755 76.9749 76 1 127
LCA08A1_contig80_len739_circularized 311.037 302 10 796
LCA08A1_contig81_len740_circularized 162.948 185 6 241
LCA08A1_contig82_len1494_circularized 245.884 194.5 8 595
LCA08A1_contig83_len739_circularized 151.304 128 3 504
LCA08A1_contig84_len759_circularized 462.448 537 16 684
LCA08A1_contig85_len742_circularized 443.133 522 16 588
LCA08A1_contig86_len738_circularized 236.544 276 8 347
LCA08A1_contig87_len738_circularized 425.945 493 24 615
LCA08A1_contig88_len748_circularized 217.731 252 7 322
LCA08A1_contig89_len748_circularized 66.8664 72 4 109
LCA08A1_contig8_len752_circularized 535.263 598.5 15 770
